id	num_of_genes	pos_rel_genes	neg_rel_genes
AP4_Q6_01	213	90523,3151,6279,5648,1942,148281,51361,55170,2904,2906,22903,90993,80326,4621,6258,80243,7050,79625,25946,9240,80067,27094,4669,8941,599,3759,971,5471,2048,221409,55014,1756,131377,26058,8405,1857,7223,51621,3956,4162,7391,8522,7136,6474,10962,4851,5913,23417,3208,85397,54843,29765,2869,1146,571,9148,5869,64393,4647,161247,4013,9134,22992,51324,23476,4609,10382,55729,9181,8692,9283,1158,23613,9610,57379,56882,2784,56180,9175,5864,7534,80270,3013,22807,6242,25915,10850,6613,252995,5532,2115,56901,22902,5530,11276,56478,55204,3710,4209,1821,54796,54715,6840,93129,10842,4808,7277,118490,10606,54802,10930,5155,7125,2899,7043,221002,2258,2257,5579,80128,57178,7422,27303,7475,51042,115701,6786,51441,55502,124997,9253,7139,126393,54567,84708,6594,140458,7023,6657,114788,56936,3790,7323,3200,27254,283987,1436,5778,144453,57804,51070,1027,51319,8352,8351,8646,4638,253559,1869,64579,11189,5075,56479,1674,8538,79893,81603,57060,5745,27239,84063,1740,26085,6249,8715,347733,6666,10150,5582,51285,238,2138,3228,5662,6900,124925,9806,340719,157807,1004,6119,51673,3480,653145,6002,5639,744,79759,26292,2672,202915,55152,7066,54838,80230,22844,1620,3670,7482,8618,3781,54764,23616	26574,1047,7732,29890,9026,10125,57569,7181,2026,6895,54662,80005,2107,10047,147409,5170,10658,314,57522,26523,56288,6262,2161,26024,5580,55643,6048,23348,64968,2786,6863,79142,80095,5798,2677,79033,2590,535,3708,4853,66002,7140,8653,143689,55540,9758,4192,51043,23062,27327,8731,10762,4828,51649,3605,149708,5324,7432,9356,26227,83597,7809,8658,56666,27072,8503,4139,285313,84897,7538,338339,23456,5685,51364,9334,23415,51230,92949,5257,253558,112487,83746,6196,10576,7743,51450,26015,53827,4826,170261,1511,126326,6717,4783,6523,51350,3955,55257,7512,3055,7932,7421,5307,79366,378925,57104,6584,51092,7018,11098,284114,771,10864,9513,124641,51719,4062,6478,587,64135,486,3938,10866,9341,916,51555,153443,10284,51560,7915,64783,126668,2176,55974,4057,3416,55959,6732,23037,54466,6521,137994,3211,93185,10973,11011,64844,5597,79801,56884,4862,10815,503542,54704,3753,387,23787,84992,10479,4659,9255,84549,726,1650,7305,4998,6917,197131,4807,8971,10370,165324,79608,28951,64927,2018,23,8027,6777,10472,6274,80014,2219,54538,51616,4734,4674,7371,114899,10564,79581,84239,2038,8863,5195,4144,9590,10507,50939,23729,2315,79652,389434,9994,54801,54956,153090,8323,1634,2519,2835,3933,768
NF1_Q6	219	4208,3151,5228,25813,90019,11099,134,163732,567,10370,64207,25978,72,627,2805,22903,9771,5915,56832,84691,10274,3005,83473,283248,1947,85366,10010,3728,11284,89797,4335,171017,6781,60436,83758,55103,27037,230,4580,5948,782,11221,4792,784,64651,2048,4904,3914,4343,3913,4821,10143,3092,11320,51621,11219,286410,4162,7135,4916,1747,221895,54843,10551,55084,654,6565,1176,2700,222894,7299,123041,7707,10512,1302,2249,3491,5928,23199,820,23404,58495,143425,339487,23243,5730,9213,115111,54910,94103,23380,54536,85457,4610,347730,53335,26959,115265,30012,2118,7059,29951,84628,54413,6774,9252,57704,9925,58499,801,54829,9788,84666,150094,7286,201931,27148,2256,6121,23543,11275,80128,8637,55904,5576,6517,3221,22848,6237,51057,8471,54551,57758,81551,147912,3590,124997,430,81544,93185,7750,57110,64320,84189,80818,23125,2137,64795,161357,6657,6659,5052,83667,92949,27125,143686,6578,7010,3205,861,9140,23090,161253,57282,8521,64641,6299,8646,54328,9746,85439,5077,59352,9139,83943,8839,23462,84955,5745,1741,5902,8862,4016,148229,8715,23635,9379,4355,200942,10150,4154,238,8091,200185,4124,6895,55669,1113,8493,204851,219988,8464,51384,29907,5098,51268,2027,3851,4775,22893,50508,54838,8707,54857,8626,121340,10162,4257,4774	80746,2147,9609,1776,1029,55366,6343,1847,1459,51720,9779,3939,29956,2672,6329,6737,79812,84824,55117,64072,64407,4651,1801,23641,8727,338557,5664,112398,283518,4885,6440,7277,54890,1849,26002,51008,966,7167,8870,7137,51114,6608,118442,29094,318,55796,30010,3382,147409,64147,9466,51090,6738,3013,79017,28316,144402,79738,7917,51214,257,2897,9022,6626,259,23312,394,3911,4735,9358,147968,340481,114781,84676,26509,9313,55539,147,4794,6725,9136,22836,29980,55930,63974,2214,7004,283989,29128,81605,54802,80263,9784,54764,79576,5994,54901,124093,2348,6484,64112,388531,6683,7422,117157,58505,5160,873,25885,6991,4552,8115,10768,8840,89869,5253,84263,8407,23626,25909,55290,4325,8914,6203,140290,9570,660,1267,3868,10245,10301,6530,2153,5156,8491,25930,9968,66004,7569,5473,8355,6785,26024,55720,9489,158,81875,8697,55764,2900,4137,245812,10193,166824,169044,25891,4801,4026,7753,56947,64881,284716,3881,3189,92521,9363,146279,7812,26297,129880,2000,54778,3725,132884,23065,55854,7247,1134,56913,3801,2874,27022,6718,113878,79074,89795,1070,9211,4682,27309,2150,79650,22934,11140,5684,6549,113452,89832,204962,6367,51499,8503,9569,23522,3754,5577,85476,6430,5413,3669,6352,84300,25796,22858,6182,5763,5906,116173,55502
E2F4DP1_01	195	64976,84679,6553,4753,3184,7290,10236,10492,84320,6885,6432,83879,125950,3015,10735,10274,7301,7597,3978,266727,5292,84858,5422,9179,6426,5597,26060,1946,9509,23619,51107,84922,27037,2047,1756,64211,26271,6434,6224,55252,4091,57556,23636,9221,5111,9314,284403,63967,2146,904,259307,51087,1174,4137,9824,2189,4609,2176,84146,990,983,7090,5931,56957,83463,2597,149076,2177,6241,1973,7374,79892,195828,5430,5122,7341,57695,28232,84312,6646,6911,4144,4678,51053,3609,2893,4883,22823,9252,51747,57659,3181,84844,64895,79733,8899,2562,8243,140901,6632,9088,11335,9126,1462,2623,55832,56944,9994,23234,8726,4329,5979,11100,57532,5933,11073,79915,3925,5634,5631,6710,64785,55193,127435,7023,3175,3742,163786,9462,56886,3788,23301,5427,57657,51605,6839,29028,79077,10714,22809,9016,5424,1786,7112,1325,4628,1869,66000,1871,5926,144455,5080,55063,79960,84515,395,4176,4150,10042,84901,5457,5902,1911,55596,988,4171,4172,10849,3159,4173,4691,79677,3226,8493,10527,203447,51496,124925,29109,5178,91746,54556,2289,1633,5591,51704,266722,348654,4436,4439,56257,2935,25836,3399,116028	155435,846,2915,5875,201176,64759,11171,6446,546,6732,58505,9021,27086,56259,9754,54799,64881,4647,90952,2017,8578,79366,6205,2262,51377,157922,401,64207,54107,128229,6659,7390,5050,56950,3428,29933,57396,5496,6546,79594,1846,6822,6929,26091,9828,6376,5452,6133,138046,7153,1544,653,84248,6598,4504,2941,5957,160065,5205,3572,7125,3290,84193,266812,3176,5608,23224,4245,3587,1004,4800,4850,64236,119587,9134,84894,79876,26994,10481,1420,1152,51014,23236,1894,9538,140838,26052,54766,5885,222894,8348,1452,5550,1659,79885,9246,79858,10345,8290,29984,64968,375790,1649,29766,3352,5921,10752,54840,79094,254170,5026,10585,8115,64342,10537,887,55016,144453,7251,256356,571,56142,11043,80789,10203,373863,6331,408,84333,162,23077,5141,51090,81555,259286,9470,83987,10363,149041,7140,338773,113791,3912,7165,80975,9454,9524,80306,9836,6014,2153,55335,54822,11124,1582,5789,10198,4920,8653,3237,4538,339983,54414,64147,2637,26959,80380,154091,9758,731,1209,79896,221409,80119,2130,54541,85004,3985,54432,10406,1903,1996,6953,1608,8242,1314,55884,8491,10570,5463,5216,84233,55527,84315,4632
ATF_B	159	7920,5889,3939,29944,150094,4052,1046,114,23623,27295,9986,57332,4967,23607,7101,64207,8549,55254,114789,60481,200734,53917,57111,2794,890,5308,192683,10900,51042,80169,57132,83988,1938,64080,261726,2669,10076,11097,10891,1639,9043,3234,3036,116092,58485,1114,7126,23619,4637,83758,4750,10263,10393,27125,23500,79647,1827,527,25830,80742,3727,9618,64225,50855,23764,7349,90410,116154,2035,114883,29995,9474,64848,4162,3326,9819,1969,79723,9616,1734,10957,8502,374,130617,3551,6750,2251,84251,10743,9746,6869,7425,63892,2353,8840,84557,130497,5063,5058,64399,56895,6059,8715,84530,6015,10150,7328,4154,54704,7320,2922,3226,10131,54910,59345,26470,7102,23645,9175,5520,5178,50805,7432,51147,7534,55197,9956,1390,7054,5494,195828,2824,5198,4708,2827,1540,817,113026,5187,5048,10513,6616,27022,7857,65056,9955,116840,1994,54806,5602,60370,56155,1843,27166,11033,6571,1392,3754,63974	2937,5704,7079,118987,257106,55500,10631,1815,4439,22897,4323,22879,51066,11264,79850,1028,116511,55733,27115,10717,85458,10761,6916,283446,10732,5700,6569,3735,28991,9695,10560,23092,79892,140838,25924,10125,84811,7156,6728,11277,55761,54933,57619,147945,5270,3590,51602,51304,5984,9722,146664,27075,23328,3678,399,25818,9482,54940,7918,2109,4283,1290,8216,11043,14,55589,2537,6130,3792,60682,2852,22802,9414,84630,3683,5967,79577,767,51747,6326,9032,200504,9509,23151,1621,10427,121536,83605,1602,27087,26574,58508,152002,120526,4360,5256,7547,54972,10369,1592,40,56672,8859,2160,56981,79867,51071,203447,1641,11063,961,339487,2815,83795,4314,256536,221656,64137,81285,6654,285782,4014,55280,51808,57007,5771,3000,10670,133396,10209,60,6496,6868,85464,10154,5347,79819,84901,60677,5514,9501,5276,8878,7633,83461,2108,8847,10668,54756,388336,22837,6372,26509,26100,79827,55320,23225,84275,85300
E2F_Q4_01	189	3151,23047,3184,84320,10370,5557,10521,83879,3015,10735,10274,283248,9179,5422,6426,4998,6427,8409,9937,6223,5833,5981,26135,9509,23619,27037,64651,2047,2048,9037,25862,1756,26271,54954,26268,140890,55252,688,3268,51460,3516,5111,23082,10204,655,284403,8828,10061,8001,2146,1616,25896,51087,8905,9824,2189,4609,56704,23235,7750,2176,990,3007,5928,23390,81611,58495,83463,126328,5888,2597,339487,149076,23598,9175,9099,7374,195828,23649,8318,9230,84312,54760,2118,51184,4144,6926,4678,51053,51194,22823,54882,9252,6567,5511,79733,8243,6532,9735,9088,1984,9126,84950,23468,7150,9994,7074,2625,257194,3751,7555,11073,7465,158763,3178,3925,81539,6811,64785,127435,11184,3742,65117,163786,54962,4212,150763,5427,27335,3205,29101,23208,6839,29028,79077,11101,10733,1735,6299,1786,1869,10592,1871,5926,144455,7345,10664,5757,79960,4176,4150,5902,3837,835,3615,55596,84957,1761,4171,4172,4173,4691,3159,79677,3226,8493,10527,23054,1643,55818,51496,9833,5178,1633,1501,5591,51704,8503,30000,30849,348654,1743,2078,1808,7884,2874,84687,25836,3399	5308,10771,4161,8148,4999,137872,404217,3939,140612,23678,376267,5159,8125,1209,54738,10436,7277,147841,5106,8660,55677,387338,38,65084,95,1909,81034,51755,4808,5585,9066,15,93380,9023,7644,4191,23075,5917,79581,121601,9857,5036,55079,5519,2819,54867,54937,23493,9517,196410,26509,1960,1839,9152,84940,6605,27136,83475,255626,4779,90187,80705,492,10628,9790,284114,1510,5727,5267,2138,1612,8763,10140,8273,10776,4758,2693,54995,2034,56154,7518,3633,8813,3953,5094,6038,50865,9277,51447,8690,9122,55287,57463,6487,719,51808,9545,3270,58504,55217,26206,6638,79366,6156,55359,55859,51365,6560,283349,5630,6118,53841,373863,3709,3963,8533,4147,29100,4322,395,81858,5710,4330,10972,112936,1282,4582,144699,5309,85359,6732,5565,9749,203190,57511,85377,8398,2697,11152,2707,54873,23608,956,252884,7678,105,10645,115727,55289,3238,7249,4610,160897,6392,283254,1298,55805,3790,51588,7813,401190,6175,56287,3678,3433,79004,9048,2899,80230,204962,1069,9828,55812,23786,10175,9774,283652,131034,3960,9744,7461,116835,2568,116236,8925,2150,79087,9844,8862
GCTTGAA_MIR498	96	830,8243,9643,8535,6453,490,167826,11252,5142,284996,161742,26039,3751,9021,53353,51465,4204,23362,140578,51804,11030,1277,131566,5066,5727,8128,4211,7490,9839,26994,10972,860,140890,144402,11278,10658,92597,55799,84107,23731,4081,84295,253559,905,60468,23405,2697,10130,4675,5870,3837,2175,29942,6664,57561,27436,10979,23243,204851,22919,64756,10123,10772,6744,818,80325,54566,677,54941,1831,9819,54861,114299,8766,26959,5530,10640,5295,1837,22893,23768,221662,63876,54894,1846,7037,2891,80232,80155,84248,57403,1392,124801,3660,54921,1497	2551,9079,57050,4323,162333,284252,3779,9351,933,4928,639,283248,56979,25851,675,81566,3297,55789,89766,4921,347733,10993,55239,952,5244,2110,81037,9343,203100,83931,64766,79018,5514,205147,4163,23463,1108,10209,9536,22875,23544,131450,148252,492,55082,29099,11016,8945,2802,55151,79042,8717,9957,60484,9994,11083,9231,79038,340419,8682,84148,1474,1746,6598,54801,56666,50650,84328,10567,51112,10555,2215,3911,117289,5051,114625,2251,5982,1768,23498,2785,5936,344838,54149,6405,408,22908,29954,3351,7270,8911,84343,57524,1672,55509,55800
YGACNNYACAR_UNKNOWN	80	85479,6860,364,2258,50613,4967,1462,60481,203190,6522,64847,23244,6901,22882,10803,10880,160335,9702,5595,8848,719,7903,9699,79647,51207,3204,181,2034,4091,1758,4762,1373,84334,5024,84300,8048,10743,64579,2649,9529,5170,5093,375686,1960,81929,81689,145258,7090,9908,7328,9378,1020,54704,6171,9610,27242,9960,1390,1632,6778,143630,4608,119391,130560,29951,51582,54857,142891,1846,1845,58531,665,4761,64344,64895,6907,63974,58476,6709,90665	8726,9603,7278,624,23236,3939,56339,9470,1420,7534,4118,79158,30837,9679,240,7077,23038,199731,9314,22938,2242,6422,51804,220202,59277,6683,27065,22955,1572,25847,80745,2824,125058,256471,4978,84000,29916,51361,81609,124626,3857,1654,3399,4684,4621,84159,79922,51092,5030,54737,5010,80704,29986,5999,23157,221391,3291,85021,50855,523,5764,23368,6374,55565,51010,2900,5877,10911,846,4901,4924,4353,84173,26190,9139,54453,9120,10131,6822,11162
AAGWWRNYGGC_UNKNOWN	100	6780,5935,1983,4849,81876,57455,29116,4850,80314,1031,7072,10087,7266,5898,64978,3276,51426,63935,7528,29888,56999,22865,2033,5981,10485,9024,6844,55102,79102,2771,5886,599,79145,466,30827,5116,3199,7323,6232,146057,51132,3205,79147,5324,116150,22941,130497,79723,375,3216,10322,11198,5991,23133,9578,22883,5080,81603,10042,388,5714,55339,84146,400,3654,5013,51530,23556,3226,23215,23243,22843,124936,372,23161,9581,28511,5469,7337,4660,4802,2810,5430,51366,2330,79823,1108,9442,91544,4678,54674,54882,202018,4893,54796,6421,57403,57659,4760,29914	122830,23046,79922,9911,81559,11030,9319,146225,8452,79875,84309,65109,3094,6754,8875,7941,537,64927,6093,56937,221079,1272,5824,51129,1995,27286,867,23210,8535,55275,1048,8570,23682,10463,9810,79683,84083,352909,29789,54625,10123,3024,129642,170959,8324,169026,221662,10904,64682,51170,115825,7366,200407,2286,84263,5079,375567,18,9978,6404,2626,9481,9972,182,2114,116225,143425,2067,152831,64106,10370,58478,6617,3446,7705,8938,10265,26045,1795,55693,56288,25999,23221,1431,54622,27030,3141,27075,23367,2243,403,9479,84524,51090,56903,8904,140609,51107,27229,5192
HNF1_Q6	213	9241,366,5527,56975,10236,6096,9124,6095,3236,10370,6431,6432,10521,2313,54165,5915,2981,55937,10735,5607,8929,54875,6239,1571,5506,344148,51747,10891,10716,3172,3363,2147,8972,5156,639,9240,2677,2638,51156,116931,382,79145,23002,124790,2165,1756,152831,3206,6928,6927,5521,9971,5324,389376,4908,23277,8496,2620,2290,1745,56995,6424,9611,6938,4988,8829,2000,6690,6906,866,5267,10371,340547,132671,7091,1178,731,54363,2538,57715,23613,127845,9575,8940,1440,23516,23187,387758,146456,9960,2921,727,5430,53335,3083,6916,6909,6476,1431,29951,147183,2705,7570,5340,173,2595,1014,10573,1015,57659,7401,375616,1806,5089,2150,11136,670,7546,3223,443,148398,3221,64221,10178,8671,284076,23314,51297,5144,9476,5500,5924,221223,486,2264,80350,54546,2243,9839,213,2244,22797,861,27329,8313,4026,92359,27283,93986,27164,3213,144165,4547,26999,9058,92162,3219,23164,3026,6527,6523,2098,10664,5076,9139,117177,10562,10298,5093,54345,9209,81796,65125,26085,1958,10110,9369,8139,79098,10150,83478,157724,54658,5813,10345,54502,203447,23414,7104,54206,4784,54578,4862,5651,10777,5451,283375,348654,3249,2078,6558,6038,4439,3670,1288,1287,55959,10599,79799,312,55917,3990,9220	8497,5781,55539,90333,9859,7481,6908,23615,5279,23367,23119,113174,23076,27023,11346,2913,1995,161882,126364,3078,85397,317749,23225,22850,387082,147744,9363,51094,4681,5257,9645,79442,51778,340602,7789,1842,6508,80263,9973,51185,9790,348932,150572,6727,6748,6713,23673,11178,5045,58,25816,10893,27242,2186,5787,9371,972,9527,55211,10605,57403,153572,9892,140290,84623,25932,4883,9098,4094,6590,3886,8448,2323,54857,93129,23245,6521,3192,1119,51341,407977,81493,23420,9022,23593,80315,10880,3052,54867,83440,57829,661,9927,81572,6134,157638,5218,55506,22928,9510,23322,23741,114885,84725,2668,8294,80709,8642,433,930,116228,64180,11140,50964,9887,2729,405,1762,113246,30008,51389,5591,55163,23235,84545,55198,5046,226,4886,405753,80227,55805,123041,9826,7571,54538,54898,50515,56895,55591,23557,124626,59271,4502,10395,7704,5189,10930,1103,83444,27136,10528,3987,656,121665,27285,9823,114814,675,119392,5289,128239,81928,5708,4133,3437,4478,133121,23616,3205,4093,8559,9683,57172,9338,26253,4670,10026,6386,722,4700,146183,22874,80758,55757,2641,114990,84239,10135,9039,4796,2121,1733,51082,2650,54715,9559,5293,7225,10148,6596,83795,2334,266727,343450,1357,10919,51287,22848,901,10550,5078,255082
E2F1DP2_01	193	64976,84679,6553,3184,4753,7290,10236,10492,84320,6885,6432,7862,83879,125950,3015,55683,10274,7301,5292,84858,5422,9179,6426,5597,26060,1946,9509,23619,51107,84922,27037,2047,5325,1756,26271,6434,6224,55252,4091,57556,9221,23636,5111,164684,284403,63967,8001,904,2146,259307,51087,1174,4137,2189,9824,4609,2176,84146,990,983,7090,56957,83463,2597,149076,2177,6241,1973,7374,79892,195828,5430,5122,7341,57695,28232,84312,6646,6911,65056,51053,4678,3609,2893,22823,9252,51747,57659,3181,84844,79733,8899,2562,140901,8243,6632,11335,9088,9126,1462,2623,55832,9994,23234,8726,4329,5979,11100,63935,5933,57532,11073,79915,3925,56658,5634,5631,6710,64785,55193,127435,7023,3742,163786,9462,56886,3788,23301,5427,57657,51605,6839,29028,79077,10714,22809,9360,5424,1786,7112,1325,4628,1869,66000,1871,5926,144455,2649,5080,55063,5757,79960,84515,395,4176,4150,10042,84901,1741,5902,5457,1911,55596,4171,988,10849,4172,3159,4691,4173,79677,3226,8493,10527,203447,51496,29109,5178,91746,54556,2289,1633,5591,51704,266722,348654,4436,4439,56257,2935,25836,3399,116028	113026,5883,115330,8913,126074,26058,29883,153769,9908,7940,11318,55684,4076,122525,11047,22871,5576,9340,3758,284904,1850,2734,6456,23295,50846,6346,3037,10987,10906,3770,9469,5887,4792,79719,83259,56912,83933,5753,9201,64218,79871,687,57626,83758,1945,7538,57511,51179,348235,5897,9550,8548,54625,6429,64782,9774,25956,6649,5864,29969,220963,55544,55200,1436,51374,740,283377,11285,9402,4651,83692,10690,146691,8653,374654,3196,51226,5055,8202,5406,130916,57085,3628,85365,50937,3040,11243,8970,55785,1997,5163,664,51324,54386,6006,1951,10622,3861,9245,6712,84249,675,10616,79083,11217,56681,4669,55794,55062,51161,6404,51552,84433,54507,80059,81609,10763,6387,94160,2762,58493,113235,1750,9294,28316,252969,4619,10560,3080,387338,55691,27044,91937,89795,1395,9817,1479,3663,10736,4093,50615,6774,8368,6390,51523,83550,131,29101,57048,27068,23195,79897,80063,10566,51,57509,65979,6197,10540,11267,6367,3613,9255,57055,221150,607,7776,283150,197021,9183,55081,1761,7478,115362,7284,4726,2912,83719,93273,6929,7584,51562,8483,9322,6590,114784,10077,55696,85407,122769,2355,151531,81794
