id	num_of_genes	pos_rel_genes	neg_rel_genes
chr15q	7	8800,366,6218,4734,8120,8554,4948	429,5723,63973,8801,161514,4711,4688
chr17q	9	5889,23531,2520,4591,10693,4215,146771,11232,5608	137994,9475,51151,55787,56981,1118,2210,79647,55089
chr4q28	22	2994,1998,2996,2993,23657,83447,3381,2266,2243,2244,79633,55534,256471,57575,60592,7350,54510,83452,27152,1047,22824,4258	121214,7873,130367,54681,54857,4985,11116,266740,340061,1630,23114,2055,6236,80199,55004,85456,10138,2219,7429,23743,2078,64083
chr3q	6	10686,51208,868,9197,3081,5130	114770,51230,84289,23521,9136,64220
chr13q33	11	6564,196541,9358,267012,79070,282706,55082,8874,1948,3981,6555	55973,10618,7057,9744,5993,140809,2653,6675,8708,7226,84669
chr6q27	18	54346,6908,5134,6991,1235,168002,84498,11116,387263,64094,6953,5689,8635,55780,55274,6196,51660,2853	23065,27065,51085,91304,5222,9213,22994,135112,94081,973,9295,27344,56163,6166,254263,51497,5460,11045
chr4q24	16	8987,79807,4790,7323,8649,9255,56898,9061,150159,493856,57117,1062,93627,4547,133308,54790	126549,9623,84842,23309,503542,57094,84056,2314,6641,1236,221662,8916,2122,22802,23423,276
chr6q25	43	9589,9113,25902,80129,4216,26230,84947,8871,56895,80177,6993,404672,57492,202500,79683,79465,80329,3482,83861,80328,51106,51429,39,387082,23118,117289,57480,84624,26271,340152,50508,6950,154043,54516,49861,26575,6648,389434,56995,26034,57621,94120,22828	57705,130367,10021,9277,4893,4239,4086,23523,43,57561,134637,375387,80311,3206,27151,4323,54795,65123,283651,114034,10963,3549,137735,11331,50865,54566,57125,2706,10328,164656,64184,26115,9374,284359,81614,285464,6100,51755,162989,9569,152789,155051,286
chr4q26	12	10424,817,7368,2247,9871,80216,11162,57721,171024,51778,79960,3558	7178,197358,23481,8653,90203,9496,3440,284076,3217,292,338773,55137
chr14q21	33	6252,5411,57697,114088,54331,6166,5015,55015,122773,2100,51062,23588,4247,8814,3091,1965,55320,9495,2287,161357,382,80821,5427,6655,122769,122525,145581,51199,3958,6495,22795,4287,161198	23600,55151,10469,1209,89795,2863,84898,4018,10434,55109,23112,5368,55577,7932,55816,24145,83851,6009,2519,10509,84285,5607,10800,10499,7448,78990,81037,285231,6632,4606,94104,8733,55326
